#,Player,Player ID,Nationality,Age when bought,Age estimated?,Potential,Position,Height (cm),Draft pick (of 48),Bought from drafting team?,Bought on,Buy price ($),Sold on,Sale price ($),Profit ($),Sale ÷ buy,Days held,Salary in season bought ($/wk),Salary in season sold ($/wk),Buy ÷ salary,Sale ÷ salary,Salary at 22 ($/wk),Salary at 24 ($/wk),Salary at 26 ($/wk),Highest salary ($/wk),Last season with salary
33,Artur Salawa,45324882,Polska,18,Yes (from draft season),hall of famer,SF,198,11,No,2018-04-14,10000,2018-05-15,187000,177000,18.7,31,2752,2752,3.6,68.0,7220,7227,8163,8349,52
34,Andrew Matthew Supranes,45306844,Pilipinas,18,Yes (from draft season),hall of famer,SF,185,32,No,2018-04-15,12000,2018-05-15,301000,289000,25.1,30,3381,3381,3.5,89.0,12531,22284,31365,37842,61
35,Adri de Henau,45078706,Nederland,18,Yes (from draft season),hall of famer,SF,201,15,No,2018-04-17,6000,2018-05-16,198000,192000,33.0,29,3269,3269,1.8,60.6,7867,8022,8102,9595,55
36,Simo Voltri,45232526,Eesti,18,Yes (from draft season),hall of famer,SF,206,32,Yes,2018-04-20,32000,2018-05-24,252000,220000,7.9,34,3235,3235,9.9,77.9,4115,4479,,4583,49
37,Ralf Looft,44900658,Deutschland,18,Yes (from draft season),hall of famer,PF,203,48,No,2018-04-21,29000,2018-05-29,198000,169000,6.8,38,3252,3252,8.9,60.9,8037,10888,11066,11380,58
38,Bill Höstlius,45719792,Sverige,18,Yes (from draft season),hall of famer,PF,203,23,No,2018-07-20,22222,2018-08-28,175000,152778,7.9,39,2979,2979,7.5,58.7,13486,18221,18335,25764,64
39,Edvinas Slapcinskas,45887858,Lietuva,18,Yes (from draft season),MVP,SF,185,40,Yes,2018-07-20,22222,2018-08-19,295000,272778,13.3,30,3807,3807,5.8,77.5,9811,24391,38495,43138,63
40,Stanisław Struski,46104453,Polska,18,Yes (from draft season),hall of famer,PG,198,1,No,2018-07-21,108400,2018-08-20,600000,491600,5.5,30,4030,4030,26.9,148.9,4674,7724,10793,12371,55
41,Mieczysław Konpa,46104432,Polska,18,Yes (from draft season),MVP,PG,206,17,No,2018-07-21,7000,2018-08-26,187000,180000,26.7,36,3096,3096,2.3,60.4,3037,3037,3037,3096,60
42,Rodrigo Caruncho,46237047,Utopia,18,Yes (from draft season),hall of famer,SF,185,2,No,2018-07-22,33333,2018-08-21,272000,238667,8.2,30,5079,5079,6.6,53.6,,,,5121,44
43,Luca Pimpo,46368878,Italia,18,Yes (from draft season),MVP,C,201,48,Yes,2018-10-25,5000,2018-11-21,272000,267000,54.4,27,3795,3795,1.3,71.7,4258,7371,12846,14081,57
44,Freddy Langley,46551912,Utopia,18,Yes (from draft season),MVP,PF,211,4,Yes,2018-10-25,7000,2018-11-25,252000,245000,36.0,31,3181,3181,2.2,79.2,2993,2993,2993,3181,66
45,Janusz Werner,46509792,Polska,18,Yes (from draft season),hall of famer,PG,198,42,Yes,2018-10-27,32000,2019-01-12,131000,99000,4.1,77,2861,2861,11.2,45.8,3788,5066,5611,7971,57
46,Dario Meić,46473548,Bosna i Hercegovina,18,Yes (from draft season),hall of famer,PG,185,32,Yes,2018-10-28,100000,2019-01-28,131000,31000,1.3,92,3982,3889,25.1,32.9,4861,6678,,6678,50
47,Georg Stüber,46498648,Magyarország,18,Yes (from draft season),hall of famer,SG,183,11,Yes,2018-10-29,3000,2018-11-28,295000,292000,98.3,30,2562,2562,1.2,115.1,9391,12302,15297,18195,57
48,Milán Tömösi,46498409,Magyarország,18,Yes (from draft season),hall of famer,PG,183,4,No,2018-10-31,44444,2018-12-17,198000,153556,4.5,47,4462,4462,10.0,44.4,12393,17576,21176,22040,59
49,Fadil Hasna,46340566,Türkiye,19,Yes (from draft season),MVP,SF,203,8,No,2019-02-03,44444,2019-03-12,307100,262656,6.9,37,5968,5968,7.4,51.5,6888,8030,9790,9799,53
50,Adam Minton,46861239,Utopia,18,Yes (from draft season),MVP,C,193,2,No,2019-02-04,10000,2019-03-11,187000,177000,18.7,35,3010,3010,3.3,62.1,2909,2909,2909,3010,66
51,Bjarki Aðalgeirsson,46864760,Ísland,18,Yes (from draft season),MVP,PG,201,28,No,2019-02-04,5000,2019-04-01,175000,170000,35.0,56,2958,2958,1.7,59.2,3935,4662,4664,4755,59
52,Oskar Frydrychowski,46817617,Polska,18,Yes (from draft season),hall of famer,SF,183,13,Yes,2019-02-04,6000,2019-03-03,187000,181000,31.2,27,3746,3746,1.6,49.9,7701,9701,,9701,51
53,Vincent Paul Comisyon,46861192,Utopia,18,Yes (from draft season),hall of famer,SF,213,30,Yes,2019-02-05,17000,2019-03-07,350000,333000,20.6,30,3336,3336,5.1,104.9,5702,5702,5735,5797,59
54,Vladimir Dimitrov,46785024,Bulgaria,18,Yes (from draft season),hall of famer,PG,198,46,Yes,2019-02-07,55400,2019-02-28,350000,294600,6.3,21,3257,3257,17.0,107.5,,,,4358,48
55,Jason Hook,46861491,Utopia,19,Yes (from draft season),MVP,PG,203,8,No,2019-05-09,80000,2019-06-17,333000,253000,4.2,39,4837,4837,16.5,68.8,6846,6847,6847,7815,58
56,Dagoberto Baltierra,47086592,México,18,Yes (from draft season),MVP,PF,190,12,Yes,2019-05-09,28000,2019-06-22,190800,162800,6.8,44,4226,4226,6.6,45.1,,,,4510,49
57,Florindo Vavassori,46984900,Italia,18,Yes (from draft season),hall of famer,PF,196,41,No,2019-05-10,10000,2019-06-03,280600,270600,28.1,24,4630,4630,2.2,60.6,7863,9795,12575,13181,58
58,Mario Bergamin,46984823,Italia,18,Yes (from draft season),MVP,PG,196,26,Yes,2019-05-15,10000,2019-06-14,175000,165000,17.5,30,3624,3624,2.8,48.3,9933,14479,15576,17331,63
59,Ville-Veikko Tuomenpuro,47151137,Suomi,18,Yes (from draft season),hall of famer,PG,196,11,No,2019-05-20,108400,2019-06-16,475000,366600,4.4,27,3660,3660,29.6,129.8,,,,3660,49
60,Ren Jacob,47478698,Utopia,18,Yes (from draft season),hall of famer,PF,208,12,No,2019-08-16,78900,2019-09-05,393000,314100,5.0,20,3165,3165,24.9,124.2,12027,29510,36485,52180,59
61,Ge Dingren,46939723,China,19,Yes (from draft season),MVP,PG,190,7,No,2019-08-17,100000,2019-10-30,255000,155000,2.6,74,6277,6277,15.9,40.6,7863,8311,,8311,52
62,Melvin Pappas,47168290,Utopia,19,Yes (from draft season),superstar,SF,201,5,Yes,2019-08-17,51000,2019-10-14,275000,224000,5.4,58,3689,3689,13.8,74.5,,,,4248,49
63,Fernando Díaz de Ledesma,47268316,España,18,Yes (from draft season),hall of famer,C,198,35,No,2019-08-18,67890,2019-10-04,198000,130110,2.9,47,2995,2995,22.7,66.1,,,,2995,48
64,Zhang Chee Leng,47462539,Taiwan,18,Yes (from draft season),hall of famer,PG,193,2,Yes,2019-08-19,108400,2019-10-01,393000,284600,3.6,43,3645,3645,29.7,107.8,,,,3645,48
65,Pedro Santos,47356539,Portugal,18,Yes (from draft season),hall of famer,C,201,40,Yes,2019-08-19,52100,2019-09-06,295000,242900,5.7,18,2938,2938,17.7,100.4,6027,8345,9176,9292,64
66,Rémy Mendes,47307403,France,18,Yes (from draft season),hall of famer,SF,198,43,Yes,2019-08-19,23456,2019-11-08,87000,63544,3.7,81,2798,2798,8.4,31.1,2767,,,2798,51
67,Mauro Vivian,47602470,Italia,18,Yes (from draft season),hall of famer,SF,196,18,Yes,2019-11-22,107500,2020-01-17,375000,267500,3.5,56,4693,4693,22.9,79.9,4424,4484,,4693,54
68,Yannis Billy,47621291,France,18,Yes (from draft season),hall of famer,PF,201,15,Yes,2019-11-24,75000,2020-01-02,301000,226000,4.0,39,4665,4665,16.1,64.5,10520,12718,16450,27904,67
69,Theofilos Solakidis,47324017,Hellas,19,Yes (from draft season),MVP,SF,206,47,No,2019-11-24,77777,2019-12-20,375000,297223,4.8,26,4533,4533,17.2,82.7,4786,5067,,5135,54
70,César Díaz de Campomanes,47583027,España,18,Yes (from draft season),hall of famer,PG,196,45,Yes,2019-11-24,115700,2020-01-13,395000,279300,3.4,50,3569,3569,32.4,110.7,5134,5209,,5544,55
71,Matej Korenčin,47766552,Slovenija,18,Yes (from draft season),hall of famer,PF,198,47,Yes,2019-11-25,90000,2020-01-01,333000,243000,3.7,37,2900,2900,31.0,114.8,,,,4363,50
72,Fredrik Liljenin,47601029,Sverige,18,Yes (from draft season),hall of famer,SF,201,47,Yes,2019-11-25,77777,2019-12-31,298000,220223,3.8,36,3448,3448,22.6,86.4,17730,32436,48235,56752,67
73,Willie Eggleston,47838583,USA,18,Yes (from draft season),hall of famer,PG,183,16,No,2020-02-29,55555,2020-04-03,275000,219445,5.0,34,3209,3209,17.3,85.7,3478,3627,3863,4705,72
74,Mariusz Szalapski,47746017,Polska,19,No,hall of famer,PG,185,12,No,2020-02-29,121200,2020-03-23,505000,383800,4.2,23,5012,5012,24.2,100.8,9028,9553,11468,13045,73
75,Vincentas Šatavicius,47982986,Lietuva,18,Yes (from draft season),hall of famer,SF,193,5,Yes,2020-03-05,100000,2020-03-25,375000,275000,3.8,20,3712,3712,26.9,101.0,8860,9877,9877,9877,61
76,Ricardo Sánchez,48192833,España,18,Yes (from draft season),superstar,SF,188,27,Yes,2020-06-09,7000,2020-06-29,130000,123000,18.6,20,2389,2389,2.9,54.4,2775,2845,2905,2972,61
77,Carles Alberich,48196453,España,18,Yes (from draft season),superstar,SF,198,13,Yes,2020-06-10,2000,2020-07-30,98000,96000,49.0,50,2905,2905,0.7,33.7,,,,3565,52
78,Filomonio Arias,48402258,Utopia,18,Yes (from draft season),superstar,SG,193,37,Yes,2020-06-10,1000,2020-07-30,98000,97000,98.0,50,3100,3100,0.3,31.6,,,,3100,52
79,Hasse Ericsson,47906107,Sverige,19,Yes (from draft season),superstar,SG,190,14,No,2020-06-10,59000,2020-07-10,275000,216000,4.7,30,4662,4662,12.7,59.0,5696,7040,7922,10461,66
80,Drasunas Ruškys,48290910,Lietuva,18,Yes (from draft season),superstar,SF,183,30,Yes,2020-06-10,7000,2020-08-04,98000,91000,14.0,55,2832,2832,2.5,34.6,,,,3199,51
81,Zhu Rufan,48092898,Utopia,19,Yes (from draft season),MVP,PF,203,4,No,2020-06-11,22222,2020-07-07,195000,172778,8.8,26,3083,3083,7.2,63.3,6222,7561,8205,8205,57
82,Dobbie Satosa,48046708,Pilipinas,19,Yes (from draft season),superstar,SF,190,25,No,2020-06-11,44000,2020-07-07,250000,206000,5.7,26,5720,5720,7.7,43.7,12479,15869,16873,20111,68
83,Fernando Horroalde,48483679,Argentina,18,Yes (from draft season),hall of famer,PG,193,22,Yes,2020-09-10,12000,2020-10-15,300000,288000,25.0,35,2770,2770,4.3,108.3,,,,2770,52
84,Luca Chinaglia,48538719,Italia,18,Yes (from draft season),MVP,PF,183,24,Yes,2020-09-10,8000,2020-11-25,75000,67000,9.4,76,2741,2741,2.9,27.4,,,,2741,52
85,Mariusz Padziak,48681700,Polska,18,Yes (from draft season),MVP,C,198,24,Yes,2020-09-12,1000,2020-11-28,75000,74000,75.0,77,3075,3075,0.3,24.4,,,,3075,53
86,Alexander Ziegler,48402838,Utopia,19,Yes (from draft season),hall of famer,PG,190,21,No,2020-09-13,86800,2020-11-30,175000,88200,2.0,78,4459,4459,19.5,39.2,8967,8967,10654,14486,62
87,Dustin Whaley,48724116,Utopia,18,Yes (from draft season),hall of famer,PG,185,9,No,2020-09-13,50000,2020-11-24,100000,50000,2.0,72,3009,3009,16.6,33.2,8601,11049,,11049,57
88,Xia Xinfeng,48495807,China,18,Yes (from draft season),hall of famer,PG,203,13,Yes,2020-09-13,22000,2020-10-19,198000,176000,9.0,36,3042,3042,7.2,65.1,10894,13064,15682,16190,70
89,Salvátor Vírus,48705165,Slovensko,19,Yes (from draft season),MVP,PG,188,8,No,2020-12-17,100000,2021-01-17,390300,290300,3.9,31,5257,5257,19.0,74.2,18409,40152,60332,72653,69
90,Kruno Vejmelka,48644609,Bosna i Hercegovina,19,Yes (from draft season),MVP,PG,203,10,No,2020-12-21,2000,2021-01-20,200000,198000,100.0,30,3779,3779,0.5,52.9,,,,4111,53
91,Jessie Heard,48996713,Utopia,18,Yes (from draft season),hall of famer,SF,196,46,Yes,2020-12-23,33333,2021-02-02,250000,216667,7.5,41,2986,2986,11.2,83.7,4599,5342,5916,5916,60
92,Tsang Kwai On,48661025,Hong Kong,19,Yes (from draft season),MVP,PG,196,19,Yes,2020-12-25,55555,2021-02-12,397000,341445,7.1,49,6011,6011,9.2,66.0,21000,42268,61421,66614,67
93,Mickaël Bouard,49022798,France,19,Yes (from draft season),hall of famer,PG,188,11,No,2021-03-25,10000,2021-05-07,187000,177000,18.7,43,4255,4255,2.4,43.9,,,,4351,55
94,Jia Haibiao,49393626,Prathet Thai,18,Yes (from draft season),MVP,PG,203,43,No,2021-03-28,43000,2021-05-08,187000,144000,4.3,41,2909,2909,14.8,64.3,,,,3071,54
95,Arutis Rukštelis,49277832,Lietuva,18,Yes (from draft season),hall of famer,SF,183,47,Yes,2021-03-29,28000,2021-05-25,175000,147000,6.2,57,2787,2787,10.0,62.8,3931,4389,4985,5870,70
96,Pepe Löfman,48980316,Suomi,19,Yes (from draft season),hall of famer,PG,185,40,Yes,2021-03-30,101101,2021-04-28,395000,293899,3.9,29,4646,4646,21.8,85.0,13479,25752,26331,34504,72
97,Asger Wael,48931053,Danmark,19,Yes (from draft season),hall of famer,SG,193,36,No,2021-04-03,31000,2021-05-29,150000,119000,4.8,56,4419,4419,7.0,33.9,8351,9997,10915,11224,64
98,Augutis Krupicevicius,49575590,Lietuva,18,Yes (from draft season),MVP,SF,190,23,No,2021-07-02,33333,2021-09-20,95000,61667,2.9,80,4072,4072,8.2,23.3,5440,,,5440,59
99,Guillem Joan,49181507,España,19,Yes (from draft season),MVP,SF,203,39,No,2021-07-03,32000,2021-08-07,187000,155000,5.8,35,4209,4209,7.6,44.4,10861,16723,23267,30561,70
100,Kevin Schwab,49131562,USA,19,Yes (from draft season),hall of famer,SF,193,27,No,2021-07-03,104100,2021-08-25,198000,93900,1.9,53,4316,4316,24.1,45.9,7505,8919,13409,15400,70
101,Paulo César Arrupe,49390085,Utopia,19,Yes (from draft season),hall of famer,PF,208,33,Yes,2021-07-05,60000,2021-08-26,175000,115000,2.9,52,5472,5472,11.0,32.0,23762,60937,60947,68026,70
102,Johnny Cowart,49387594,Utopia,19,Yes (from draft season),MVP,SF,208,1,No,2021-07-05,52100,2021-08-14,260200,208100,5.0,40,7007,7007,7.4,37.1,7607,7749,,7749,59
103,Csongor Szűcs,49632952,Magyarország,19,Yes (from draft season),MVP,PG,185,7,No,2021-10-08,50000,2021-11-15,202000,152000,4.0,38,4250,4250,11.8,47.5,8282,11195,24700,24700,67
104,Pierce Weiss,49554195,England,19,Yes (from draft season),MVP,SF,193,20,No,2021-10-11,52100,2021-11-23,175000,122900,3.4,43,4002,4002,13.0,43.7,6135,7411,9099,11025,67
105,Aras Ustinavicius,49578194,Lietuva,19,Yes (from draft season),MVP,PG,193,1,Yes,2021-10-11,15000,2021-12-06,150000,135000,10.0,56,4416,4416,3.4,34.0,5137,,,5137,58
106,Algimantas Bukas,49575965,Lietuva,19,Yes (from draft season),MVP,PG,198,16,No,2021-10-12,6000,2021-11-20,175000,169000,29.2,39,5124,5124,1.2,34.2,8117,8117,8117,9559,65
107,Víctor Zúñiga Gómez,50366638,España,18,Yes (from draft season),hall of famer,PG,185,46,Yes,2022-01-15,77777,2022-02-10,275000,197223,3.5,26,4103,4103,19.0,67.0,,,,4103,57
108,Marian Kuczma,50528014,Polska,18,Yes (from draft season),hall of famer,SF,198,32,Yes,2022-01-17,102000,2022-02-14,475000,373000,4.7,28,4235,4235,24.1,112.2,6847,8197,9051,9787,69
109,Arnas Selezenevas,50459992,Lietuva,19,No,hall of famer,PF,208,11,No,2022-01-22,115700,2022-03-05,406000,290300,3.5,42,3815,3815,30.3,106.4,10369,21563,25260,26072,73
110,Tomás Marín Alonso,49744055,Argentina,19,Yes (from draft season),hall of famer,PG,196,23,No,2022-01-22,22000,2022-02-23,297000,275000,13.5,32,4759,4759,4.6,62.4,12644,13179,16476,18831,69
111,Fei Chengyang,49983009,Macau,19,Yes (from draft season),hall of famer,PG,188,16,Yes,2022-01-24,29000,2022-03-12,275000,246000,9.5,47,4321,4321,6.7,63.6,7253,8714,10040,12651,68
112,Ignacio Floreaga,50683632,España,19,No,hall of famer,PF,208,28,Yes,2022-04-22,122222,2022-05-26,292100,169878,2.4,34,4272,4272,28.6,68.4,8156,11847,23100,35215,73
113,Bill Witt,50314859,USA,19,Yes (from draft season),MVP,PG,201,10,Yes,2022-04-23,50000,2022-05-28,137800,87800,2.8,35,6107,6107,8.2,22.6,7788,9494,11059,11814,68
114,Dimos Drakoglou,50566300,Cyprus,19,Yes (from draft season),MVP,PF,188,2,Yes,2022-04-25,102000,2022-06-04,255000,153000,2.5,40,7672,7672,13.3,33.2,9113,12442,17867,25550,69
115,Tommy Mameli,50705727,Italia,18,Yes (from draft season),hall of famer,SF,190,5,Yes,2022-04-25,55555,2022-06-16,150000,94445,2.7,52,3204,3204,17.3,46.8,3855,3861,3867,3867,67
116,Almants Iesalmanis,50511506,Latvija,19,Yes (from draft season),MVP,PG,201,12,Yes,2022-04-25,120000,2022-06-02,250000,130000,2.1,38,5314,5314,22.6,47.0,6370,7050,7270,7270,65
117,Jordan Schmelzer,51402902,Nederland,18,Yes (from draft season),hall of famer,SF,198,4,Yes,2022-11-04,66666,2022-11-30,178600,111934,2.7,26,3562,3562,18.7,50.1,,,,3562,60
118,Ronulfo Rojas,51528877,Ecuador,18,Yes (from draft season),hall of famer,PF,196,2,No,2022-11-04,66666,2022-12-24,142600,75934,2.1,50,2978,2978,22.4,47.9,7060,8028,8560,10912,71
119,Toivo Liikkanen,51510265,Suomi,18,Yes (from draft season),hall of famer,C,211,47,No,2022-11-04,44000,2022-12-21,101000,57000,2.3,47,2396,2396,18.4,42.2,,,,3363,61
120,Freddy Chahal,51210062,England,19,Yes (from draft season),MVP,SF,185,19,No,2022-11-07,50000,2023-01-11,127600,77600,2.6,65,4220,4220,11.8,30.2,20565,53622,,53622,64
121,Marin Halić,51528356,Hrvatska,19,Yes (from draft season),MVP,PG,188,19,No,2023-02-12,104100,2023-03-26,199000,94900,1.9,42,5469,5469,19.0,36.4,7828,9629,10148,10379,70
122,Benigno Jamandre,52171297,Pilipinas,18,Yes (from draft season),hall of famer,SG,183,18,No,2023-05-26,112200,2023-08-13,175000,62800,1.6,79,5645,5645,19.9,31.0,9212,9969,10094,10094,69
123,Aldo Nicotra,51660903,Italia,19,Yes (from draft season),MVP,PG,185,39,Yes,2023-05-29,101000,2023-07-23,150000,49000,1.5,55,6657,6657,15.2,22.5,9462,10928,15615,24235,71
124,Lutz Kathmann,52592706,Deutschland,18,Yes (from draft season),hall of famer,PG,193,43,Yes,2023-08-25,77777,2023-11-03,207100,129323,2.7,70,3377,3377,23.0,61.3,3352,3778,4208,4243,71
125,Ioannis Pekos,52438974,Hellas,19,No,hall of famer,C,203,30,No,2023-08-25,92600,2023-09-21,195000,102400,2.1,27,3965,3965,23.4,49.2,12135,36645,103456,223363,73
126,Antonio Primorac,52498212,Hrvatska,19,No,hall of famer,PF,211,1,Yes,2023-08-27,102000,2023-10-05,275000,173000,2.7,39,4798,4798,21.3,57.3,10010,13194,13440,14490,73
127,Leon Gustafson,52333269,USA,18,Yes (from draft season),hall of famer,PG,185,9,Yes,2023-08-29,8000,2023-10-21,195000,187000,24.4,53,4305,4305,1.9,45.3,7158,,,7158,66
128,Guo Chonghuan,53693413,China,18,Yes (from draft season),MVP,PF,203,29,No,2024-12-16,21000,2025-02-13,99000,78000,4.7,59,4050,5413,5.2,24.4,5909,7012,,7012,72
129,Yusak Kustiana,54231765,Indonesia,19,No,MVP,PF,196,4,No,2025-03-26,83600,2025-05-02,204000,120400,2.4,37,8025,7285,10.4,25.4,8782,8782,,10997,73
130,Sevastianos Deves,53919128,Hellas,19,No,MVP,PG,190,11,No,2025-03-29,100000,2025-05-01,220000,120000,2.2,33,5136,10543,19.5,42.8,12672,15712,,16186,73
131,Tang Wang Ching,54003570,China,19,Yes (from draft season),MVP,SF,203,11,No,2025-07-06,26000,2025-09-19,65000,39000,2.5,75,4301,5541,6.0,15.1,,,,5565,70
132,Sélim Belahnichi,55581006,France,19,No,MVP,PF,203,28,Yes,2026-05-04,5000,2026-06-16,8000,3000,1.6,43,4583,4583,1.1,1.7,,,,5481,73
133,Georgiy Khitsko,55640624,Ukraina,19,No,hall of famer,PG,188,1,Yes,2026-05-04,6000,2026-06-09,51700,45700,8.6,36,4643,4643,1.3,11.1,,,,4643,73
134,Jaime Iruleta,55720898,Puerto Rico,19,No,MVP,SG,183,10,Yes,2026-05-07,91800,2026-06-30,175000,83200,1.9,54,7127,7127,12.9,24.6,,,,7141,73
