team_id,team_name,league,arena_name,bleachers_capacity,bleachers_price,lower_tier_capacity,lower_tier_price,courtside_capacity,courtside_price,luxury_capacity,luxury_price,total_capacity,avg_est_revenue_per_game,avg_fill_pct,W,L,PF,PA,win_pct,point_diff
32543,Salvem as Lulas,II.2,SVL Arena,17600,12,2000,45,488,130,50,775,20138,367997,97,9,1,1195,1041,0.900,154
32722,MestreMengão,II.2,Big Ar,20030,12,2500,45,500,120,25,1100,23055,299225,66,8,2,1078,953,0.800,125
65684,A.A.Tchim,II.2,Saúde,14200,12,1800,48,475,130,25,1000,16500,280362,85,7,3,1102,926,0.700,176
65280,Wonkru,II.2,Arena Wonkru,13500,14,2000,45,500,120,20,1200,16020,294809,80,7,3,1168,1081,0.700,87
33049,Lapa Supersonics,II.2,Estádio Supersônico da Lapa,18890,13,1300,65,100,200,10,1600,20300,264074,67,6,4,1089,952,0.600,137
32628,Indiana Pacers Brasil,II.2,Bankers Life Fildhouse,9100,15,1100,50,280,120,20,1000,10500,219551,85,4,6,1049,1049,0.400,0
32126,Clube Atlético Jale,II.2,Toca da Onça,18500,7,3803,18,498,124,30,839,22831,253132,89,3,7,1038,1054,0.300,-16
65800,Clube de Basquete H,II.2,Arena Humungus,7738,14,2200,37,250,143,16,806,10204,238378,100,1,9,930,1149,0.100,-219
24669,Rio Runners,II.3,Landscape Arena,16000,10,5000,27,500,117,50,565,21550,358148,93,10,0,1198,722,1.000,476
65089,Bauru Brajato Basquete,II.3,Brajato Arenas,24250,11,6200,43,500,135,50,930,31000,295470,52,6,4,1054,944,0.600,110
65142,São Paulo Saints,II.3,Morumbi Center,14000,13,4200,30,500,115,45,590,18745,383628,99,6,4,985,927,0.600,58
67921,Bc Atorvastatina,II.3,E colesterol,10338,19,700,68,260,195,7,1600,11305,251282,80,6,4,1096,1052,0.600,44
24538,Ruazinha Basquetebo,II.3,Ruazinha Arena,22000,8,6000,30,500,135,50,650,28550,309938,74,5,5,1057,1002,0.500,55
32872,SL Faria,II.3,Luz,19000,11,2200,52,250,180,20,1380,21470,289948,77,5,5,935,947,0.500,-12
65627,Sesi Franca,II.3,Pedrocão,20000,10,4000,40,400,80,50,500,24450,287395,80,4,6,927,942,0.400,-15
24547,Island Sentinels,II.3,The Citadel,5520,10,530,35,65,100,2,800,6117,81850,100,0,10,652,1232,0.000,-580
32919,São Gonçalo City Ba,II.3,São Gonçalo City Basket,18500,20,2000,70,450,200,20,1600,20970,257318,38,10,0,1027,709,1.000,318
32349,Diadema Dawgs,II.3,Arena Monumental ABC,15000,12,3000,40,400,135,40,720,18440,325721,86,6,4,956,776,0.600,180
32973,CRVG,II.3,Barreira do Vasco,16000,12,6500,22,500,117,50,570,23050,340921,74,6,4,858,821,0.600,37
65213,Chapecó Warpigs,II.3,The Pigsty,17500,12,1950,45,500,115,50,570,20000,338538,86,6,4,902,938,0.600,-36
24477,Ferroviario Basquet,II.3,Coliseum Force Arena,8938,12,1600,42,60,100,2,800,10600,182056,100,3,7,981,1070,0.300,-89
65163,Axt Basket,II.3,Axt Arena,10628,12,700,60,60,150,12,1200,11400,185736,95,3,7,905,1111,0.300,-206
66841,Basquete Eslavo,II.3,Marakanazinho,6038,10,600,35,75,100,10,800,6723,96880,100,2,8,967,1071,0.200,-104
24742,FLAMENGO81,II.3,NINHO DO URUBU,16500,12,3500,35,500,120,50,700,20550,273603,62,2,8,862,1098,0.200,-236
67464,BC Serpimolot,II.4,Krásny Dom,7538,15,910,60,208,200,4,1600,8660,185515,82,7,3,1045,799,0.700,246
32359,Recife Kaeté,II.4,OKaeté,19450,11,4000,30,500,122,50,576,24000,379362,85,6,4,968,853,0.600,115
32152,PHOENIX AMAZONENSE,II.4,FOOTPRINT CENTER-Amazonas,18960,10,4500,30,500,120,40,700,24000,376975,86,5,5,1010,899,0.500,111
65371,Fluminense de Feira,II.4,Joia da Princesa,17293,9,2200,37,500,110,20,950,20013,282079,91,5,5,902,888,0.500,14
66371,Turatto Stars,II.4,Turatto Stars Arena,13000,10,10000,20,500,100,50,500,23550,334102,84,4,6,873,823,0.400,50
24774,Battlefield Cavaliers,II.4,Market Garden Arena,19000,10,1500,50,500,123,50,630,21050,277723,81,3,7,1035,1041,0.300,-6
67747,Brasília B.C,II.4,ARENA DF,7038,15,1100,46,258,135,6,1600,8402,189638,91,3,7,852,937,0.300,-85
24647,Bombeiros Firefight,II.4,Caldeirão da ESB,5438,20,500,70,60,200,2,1600,6000,142318,87,0,10,328,1192,0.000,-864
32579,FlaGarça,II.4,Garção,19000,14,7500,35,500,172,50,850,27050,319249,53,9,1,1041,790,0.900,251
32390,Canada Country Clube,II.4,Canada,8000,18,1250,60,200,180,20,1500,9470,240265,86,7,3,1096,1007,0.700,89
32350,Fiel Celtics,II.4,Arena fiel,16435,13,870,57,178,150,17,1440,17500,258125,79,7,3,1015,968,0.700,47
32532,Palestra Itália,II.4,Arena São Marcos,20889,6,4072,28,500,100,50,525,25511,261832,82,6,4,1055,937,0.600,118
32195,Maringá Sport Team,II.4,Dogão Sports Center,18000,7,5000,25,500,70,50,600,23550,286964,87,6,4,1020,980,0.600,40
24576,Marmotas,II.4,Marmotão Arena,6188,18,750,65,300,145,10,1400,7248,214611,100,5,5,989,1046,0.500,-57
65285,Real Colina de Aço VR,II.4,Raulininho,18000,13,2500,42,420,123,10,1350,20930,361022,91,4,6,871,908,0.400,-37
33119,Atletico Ceara,II.4,Cathedral,8938,12,800,38,80,105,12,820,9830,148576,100,3,7,991,1023,0.300,-32
24789,Baré,III.1,Baré Arena,10500,12,1500,45,275,125,20,720,12295,216505,95,10,0,1234,712,1.000,522
32409,LA Stars,III.1,LA Stars Arena,9204,9,650,60,140,170,6,1500,10000,148600,99,8,2,966,799,0.800,167
32968,Ursos da Baixada,III.1,Vilar stadium,11108,10,800,39,60,122,2,1000,11970,121315,75,7,3,1007,748,0.700,259
24728,Invictus Pirituba,III.1,Arena Pirituba,12500,10,2500,25,500,95,50,450,15550,192468,74,6,4,1096,981,0.600,115
32999,CRGPX,III.1,Ginásio CRGPX,5990,13,850,45,150,160,10,1250,7000,135853,87,6,4,1038,966,0.600,72
32738,Vasco de Guarulhos,III.1,São Januário,5438,12,500,60,60,160,2,910,6000,106136,99,3,7,849,956,0.300,-107
65399,Baile De Munik,III.1,Munik Stadium,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,803,1222,0.100,-419
66059,Ribeirão Stars,III.1,Ribeirão Stars Arena,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,723,1235,0.100,-512
67841,Caruaru Sesi Club,III.1,Ranulfo Queiroz,6438,10,500,35,60,100,2,800,7000,89480,100,9,1,1322,1035,0.900,287
24549,Utah Jazz ³,III.1,Ginasio Arena,6000,15,1200,50,400,120,30,850,7630,155136,83,8,2,1292,948,0.800,344
65316,Complexo RJ,III.1,Complexo RJ Arena,16000,8,2500,25,500,105,20,800,19020,209951,85,7,3,1162,977,0.700,185
66298,Ghost B.C.,III.1,Ghost Stadium,5438,12,500,40,60,120,2,900,6000,136170,120,5,5,1095,1040,0.500,55
33047,Floripa Hawks,III.1,Floripa Hawks Arena,8500,11,750,45,120,120,12,1100,9382,144820,94,5,5,1101,1061,0.500,40
32717,Bombeiros Firefighters,III.1,Caldeirão do CEIB,5438,12,500,40,60,120,2,1000,6000,86810,89,3,7,917,1204,0.300,-287
24509,Los Pampas B.C,III.1,Hulha Negra,20000,6,2250,24,500,75,50,400,22800,156567,59,1,9,838,1173,0.100,-335
68472,Metropolis Workers,III.1,Work Stadium,5438,10,500,35,60,100,2,800,6000,79480,100,0,10,827,1213,0.000,-386
65365,E.V.L.A.,III.2,Victor Szcepansky,5488,18,510,60,70,200,4,1500,6072,134926,87,9,1,1222,816,0.900,406
68139,Londrina Basket Clube,III.2,Moringão,8500,15,1180,60,300,170,20,1200,10000,159828,68,9,1,1212,832,0.900,380
32584,Manaós BC,III.2,Arena Manaós,9183,10,1163,45,240,140,20,730,10606,162428,92,8,2,1147,700,0.800,447
32952,3 pontos,III.2,De 3 em 3 a galinha enche o papo,14170,9,1500,34,300,115,30,580,16000,195568,83,6,4,1233,919,0.600,314
32890,Três Colinas,III.2,Pedrocão,10438,9,700,48,110,130,2,950,11250,102532,70,5,5,852,943,0.500,-91
65085,Mulekes de Rua,III.2,Rua do Meio,17000,9,3500,30,410,80,20,800,20930,166503,50,2,8,720,1070,0.200,-350
33104,Halifax Highlanders,III.2,Halifax Center,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,729,1234,0.100,-505
66875,Black Falcons,III.2,Falcons Arena,5438,12,500,38,60,135,2,700,6000,79145,85,0,10,667,1366,0.000,-699
32141,Volcom,III.2,Volcom Arena,18210,10,1800,37,400,135,28,990,20438,248106,82,9,1,1151,793,0.900,358
32640,Fogo de rua,III.2,Arena de ginga,5438,18,500,67,60,200,2,1600,6000,116466,72,8,2,1141,823,0.800,318
32569,Phantom Hoops,III.2,Midnight Pavilion,10308,10,1357,38,250,96,15,631,11930,178999,98,7,3,1105,795,0.700,310
24546,Ilha da Magia,III.2,Lagoa,10138,12,1000,45,300,140,14,1000,11452,183481,88,7,3,1051,933,0.700,118
65149,Parahyba,III.2,Parahyba Arena,9400,10,500,60,90,150,10,1000,10000,124058,78,4,6,761,906,0.400,-145
65198,Chapecoense Basketball,III.2,Arena Condá,5438,16,500,65,60,180,2,1600,6000,75450,50,3,7,950,1214,0.300,-264
24767,Vila Velha Vikings,III.2,La Dispute,17100,10,5000,23,500,120,50,1000,22650,140261,34,2,8,797,1055,0.200,-258
69075,Basqueteam,III.2,Townsville,5438,10,500,35,60,100,2,800,6000,78458,98,0,10,850,1189,0.000,-339
33050,Champilha Stars,III.3,Champilha Arena,11000,5,1000,30,500,70,30,600,12530,133800,100,9,1,1261,794,0.900,467
33068,Goytacaz B.C.,III.3,Arena Campistão,8200,10,1370,35,450,100,45,800,10065,176089,98,8,2,1275,898,0.800,377
24694,Empera,III.3,Emperor,8638,12,700,49,70,180,10,1099,9418,160196,100,6,4,1099,915,0.600,184
32761,Vila Velha Tigers,III.3,Clutch Center,17000,20,5000,70,500,200,45,1600,22545,113082,15,6,4,1041,1001,0.600,40
33089,Tartaglia Team Basketball,III.3,Arena Pinhal,22000,8,5000,26,500,110,50,720,27550,265659,73,6,4,1087,1076,0.600,11
65230,São Paulo Seekers,III.3,Chakram Center,16000,8,4500,28,500,129,50,699,21050,189526,59,2,8,761,952,0.200,-191
67081,X-Bacon,III.3,X-Tudo Arena,5438,10,500,50,60,130,2,600,6000,88380,100,1,9,663,1268,0.100,-605
65574,Novo Mundo BB,III.3,Novo Mundo BB Arena,5438,7,500,40,60,150,2,655,6000,68376,100,0,10,709,1322,0.000,-613
65799,River Sharks,III.3,Sharks Arena,8988,12,1295,38,154,175,3,1450,10440,185235,98,10,0,1156,629,1.000,527
33072,TRAMANDAÍ BASKET,III.3,MARISCÃO,14100,15,1237,40,150,110,6,1600,15493,205994,66,9,1,1167,657,0.900,510
32483,Sixsense BC,III.3,Ginásio da Várzea,9465,12,1220,40,300,130,15,1000,11000,167406,77,7,3,976,827,0.700,149
32382,Cattleya Walkerianas,III.3,Orchid Flowers,12000,10,750,58,200,175,8,1193,12958,142637,66,5,5,900,899,0.500,1
65713,Três Rios Calangos,III.3,Fenda do Languim,9500,15,2450,30,500,85,50,600,12500,150814,45,5,5,931,972,0.500,-41
66583,Sua Morte Chegou,III.3,Hora Da Morte,5438,10,500,35,60,100,2,800,6000,79480,100,4,6,945,1088,0.400,-143
32444,Pilates team,III.3,Samba Arena,5438,9,500,35,60,100,2,799,6000,74040,100,2,8,858,1173,0.200,-315
33007,Bauducco Return,III.3,Arena Baurucco,9438,13,700,55,150,170,7,1600,10295,121724,54,0,10,752,1110,0.000,-358
33100,Minas Miners,III.4,Cave of Gold,13000,10,2175,31,385,110,10,850,15570,210803,92,10,0,1090,592,1.000,498
32624,Rondônia Rios,III.4,Ginásio Portal da Amazônia,11182,11,898,50,210,140,10,1200,12300,175381,82,8,2,1052,804,0.800,248
65516,Meninos da Vila,III.4,La BomboVila,9943,12,1320,40,180,155,10,1350,11453,182986,91,7,3,1038,792,0.700,246
32811,Bohemian Strongers,III.4,Bohemian Strongers Arena,5438,15,500,40,60,130,2,1200,6000,102437,90,5,5,882,993,0.500,-111
65282,Na Lenha,III.4,Forno a Lenha,5888,11,587,51,156,131,10,965,6641,124791,100,4,6,691,932,0.400,-241
32115,Cowboys Chapiusk,III.4,Arena Kong,14500,6,8000,18,500,80,30,600,23030,204303,76,2,8,848,1107,0.200,-259
68833,Celtics Miguelense,III.4,Garden,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,842,1158,0.100,-316
67674,Garanhuns Cavaliers,III.4,SESC Garanhuns,5438,10,500,35,60,100,2,800,6000,78962,99,1,9,781,1159,0.100,-378
24480,Glub Glub/Vila Velha,III.4,Glub Glub/Vila Velha Center,22550,10,3200,40,500,145,30,1100,26280,202416,50,8,2,1175,876,0.800,299
66064,Miquimba Basquete Clube,III.4,Arena do Leão,6638,20,500,55,60,100,2,1200,7200,109792,59,8,2,1137,934,0.800,203
32233,Laranjeiras Trees,III.4,General Glicério,5638,15,550,65,120,200,3,1600,6311,144677,98,7,3,1124,780,0.700,344
24701,Limoeiro,III.4,Limoeiro Arena,5620,18,700,60,170,176,10,1400,6500,144220,75,7,3,1123,928,0.700,195
67952,CxS NxtGen,III.4,MFR Forum,9897,10,1174,41,205,129,14,885,11290,178710,97,5,5,1061,885,0.500,176
24558,Pitukas,III.4,Pitukas,12574,10,883,50,259,165,16,1200,13732,156074,67,5,5,1059,958,0.500,101
32913,Joao´s team,III.4,joao´s arena,5438,10,500,35,60,100,2,800,6000,79480,100,2,8,812,1227,0.200,-415
32502,Le Sserafim FC,III.4,Le Sserafim,5438,9,500,20,60,56,2,408,6000,63118,100,0,10,685,1275,0.000,-590
24752,Agropet Almirante,III.5,Almirante Arena,8538,20,930,60,200,180,12,1200,9680,144668,46,8,2,1030,733,0.800,297
32466,Houston Rockets ²,III.5,Arena da Baixada,5650,20,1120,60,400,150,30,1200,7200,120808,49,7,3,1310,942,0.700,368
32172,Knight of The Sun,III.5,Battle Arena,17490,8,2000,33,500,100,10,1000,20000,200194,81,6,4,1253,1076,0.600,177
66112,Rio Pomba - MG,III.5,Ginásio do Pombense,12000,8,1800,32,420,98,20,800,14240,168482,83,4,6,1123,1011,0.400,112
32139,Finazzi Basketball Club,III.5,Arena Finazzi,5438,12,500,35,60,100,2,650,6000,72226,75,3,7,931,1198,0.300,-267
68721,Éééégua,III.5,Éééégua stadium,5438,14,500,45,60,140,2,1040,6000,78707,64,3,7,817,1194,0.300,-377
24786,melk72,III.5,melk72 arena,5438,13,500,38,60,85,2,440,6000,95674,100,2,8,735,1262,0.200,-527
24500,Elite Kings Team,III.5,The Garden,5638,12,520,60,70,200,4,1600,6232,113009,93,0,10,735,1214,0.000,-479
68852,CEZ BC,III.5,B-R,15000,10,6250,24,500,84,50,435,21800,298134,87,9,1,1227,681,0.900,546
66609,Miami Hot Dolphins,III.5,Tua Stadium,24738,5,2600,30,160,200,4,1000,27502,184207,77,9,1,1187,937,0.900,250
68108,SuperSonics Paulista,III.5,Sound Arena,9137,10,758,52,158,176,7,1219,10060,156257,95,8,2,1198,976,0.800,222
65636,Lança Boca,III.5,Boca,8000,13,1000,55,300,140,15,1200,9315,145138,71,7,3,1067,934,0.700,133
65289,LA Galaxy,III.5,Galaxy Park,16000,10,3000,30,500,100,50,1000,19550,219710,73,6,4,1022,668,0.600,354
65117,Laker-show,III.5,Staples Center,16825,8,2100,21,250,55,50,405,19225,139034,55,5,5,925,1044,0.500,-119
65705,Jampa BoysAE6,III.5,Arena Jampa,5438,12,500,44,60,125,2,1000,6000,96756,100,2,8,871,1133,0.200,-262
65079,Luka5,III.5,Kuka5 Stadium,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,822,1250,0.100,-428
68896,Small Heart,III.6,Arena center,11352,13,1000,60,141,200,7,1600,12500,179905,73,10,0,1129,639,1.000,490
65143,petrolina superstars,III.6,Arena Tam Superstars,16215,12,4335,40,490,170,46,800,21086,198883,52,7,3,1129,885,0.700,244
32585,Três Rios Carijós,III.6,EleniCenter,16500,8,4560,30,500,100,40,600,21600,189234,65,6,4,978,849,0.600,129
24631,Capivara CBCG,III.6,Terrinha,10300,10,3000,24,320,110,30,600,13650,192181,81,4,6,1040,1068,0.400,-28
67477,Nossa Senhora Imacu,III.6,José de Barros Ferreira,5438,12,500,65,60,150,2,1200,6000,109156,100,4,6,1007,1140,0.400,-133
65233,Ajax Storm,III.6,Storm Arena,11500,10,1500,35,275,110,15,950,13290,179089,81,4,6,944,908,0.400,36
32666,Novo Hamburgo Kanga,III.6,Marsupial Meeting,5438,12,500,28,60,109,2,556,6000,82278,94,2,8,908,1190,0.200,-282
66719,betsss,III.6,nyur,5438,10,500,35,60,100,2,800,6000,79480,100,0,10,815,1372,0.000,-557
68921,Minas Suns,III.6,Suns Arena,17000,12,4000,32,500,120,50,520,21550,206276,49,9,1,1181,815,0.900,366
32161,Mariana Miners,III.6,Ginásio dos Inconfidentes,12000,10,2500,25,475,80,25,650,15000,226512,96,9,1,1156,883,0.900,273
32290,Flying Dreams,III.6,Dream Factory,20950,5,3500,22,500,71,50,443,25000,212587,84,8,2,1100,884,0.800,216
65351,flamante,III.6,GINÁSIO NINHO DO URUBU,6000,20,1000,57,300,130,15,610,7315,129976,52,7,3,1434,1048,0.700,386
32162,Basquete Barriga Ve,III.6,Ginásio de esporte Ivo Sílveira,5480,10,858,45,60,200,2,1600,6400,108610,100,5,5,1095,1101,0.500,-6
65325,Coentro Defenders,III.6,Defenders,14000,10,1800,35,60,100,12,800,15872,122250,52,3,7,866,1084,0.300,-218
65112,Midnight Warriors,III.6,Kulmann Arena,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,877,1254,0.100,-377
68382,Barclay center,III.6,Gw center,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,805,1344,0.100,-539
65680,Light Wings,III.7,Open Wings,11068,11,2000,30,500,81,50,426,13618,230214,94,9,1,1322,735,0.900,587
67816,Flamengo Joaçaba,III.7,Arena Mengão,8500,12,1000,64,145,194,7,1598,9652,156300,76,8,2,1255,960,0.800,295
32261,Houston Rokets,III.7,Rockets Arena,30000,8,3000,45,500,150,50,800,33550,208216,49,7,3,1057,824,0.700,233
32644,Osasco Heat,III.7,Lipets Stadium,5590,14,1200,50,90,200,5,1600,6885,137874,86,7,3,1061,886,0.700,175
67803,Flamengo Predators,III.7,Maracana,9000,12,700,53,120,200,10,1250,9830,140575,73,5,5,961,1060,0.500,-99
32577,Capeta-Hell,III.7,HellZone,5438,10,500,35,60,100,2,800,6000,79480,100,3,7,897,1128,0.300,-231
67282,lucas FC,III.7,arena do miami,5438,10,500,35,60,100,2,800,6000,79480,100,2,8,927,1200,0.200,-273
33056,Santos Stingrays,III.7,Quebra-Perna,5438,8,500,20,60,75,2,500,6000,59004,100,1,9,909,1250,0.100,-341
24693,Catalão Basquete Clube,III.7,Ginásio Internacional de Catalão,14600,10,1900,35,480,100,45,570,17025,250579,97,10,0,1264,544,1.000,720
67073,Atletico Flyers,III.7,Arena Petry,15000,7,3000,23,500,85,50,465,18550,173106,72,8,2,1117,783,0.800,334
65596,Sesi Franca Basquete,III.7,Pedrocão,16460,5,5000,22,500,90,40,700,22000,202976,89,8,2,1066,860,0.800,206
33091,Itajubá Rabbits,III.7,Itajubá Rabbits Arena,7500,12,650,62,90,200,12,1350,8252,141743,88,4,6,886,1061,0.400,-175
32458,Zaxers,III.7,Galaxy Neon Stadium,5438,15,500,50,60,150,2,1250,6000,110130,89,3,7,813,1186,0.300,-373
68344,Lanches,III.7,Rodrigo Lanches,5438,10,500,35,60,100,2,800,6000,79480,100,2,8,864,1178,0.200,-314
33025,Warriors 30,III.7,Golden arena,5438,14,500,65,60,180,2,1300,6000,118340,96,2,8,782,1173,0.200,-391
66944,JP Mavericks,III.7,Arena Ronaldão,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,825,1178,0.100,-353
32455,Vastar,III.8,Vastar Coliseum,12450,11,1500,45,400,128,22,948,14372,219469,94,9,1,1078,748,0.900,330
32954,Ribeirão Wolves,III.8,Arena Ribeirão,13188,10,950,65,60,200,2,1600,14200,141939,65,7,3,1159,855,0.700,304
24654,Pelotas Packers,III.8,Lambeau Field,7088,12,755,42,91,115,2,950,7936,125320,96,6,4,1082,917,0.600,165
66299,Monstros do Lago,III.8,Arena da Lagoa,9110,10,600,42,136,125,6,886,9852,119831,81,5,5,935,902,0.500,33
67503,Goiânia Pequi,III.8,Arena T-63,5438,10,500,35,60,100,2,800,6000,79480,100,5,5,992,1078,0.500,-86
65295,Real Palestra Basquete,III.8,Arena Real Palestra,5438,10,500,45,60,100,2,800,6000,84480,100,3,7,915,1138,0.300,-223
69036,Anjos e Demônios,III.8,Purgatório,5438,12,500,54,60,97,2,600,6000,99276,100,1,9,917,1302,0.100,-385
24759,Karpinski,III.8,Arena Karpinski,5438,14,500,63,60,200,2,1600,6000,88403,63,1,9,572,1028,0.100,-456
68173,Metallic Luders,III.8,Arena Metal,11500,14,1000,55,450,125,40,650,12990,179270,62,8,2,1080,969,0.800,111
65569,Marilia Saurus,III.8,Arena Pre histórica,7938,12,500,40,60,200,2,1300,8500,125850,96,7,3,1171,889,0.700,282
32319,BC Barão,III.8,FEF,15000,10,5000,30,500,100,50,500,20550,202718,57,7,3,1014,757,0.700,257
33083,GENERAL FIRST,III.8,GENERAL ARENA,16000,10,1300,37,250,120,2,1500,17552,205361,80,7,3,1062,848,0.700,214
24691,Birigui Knights EC,III.8,Arena Francisco Jair Zonta,6375,9,587,41,156,112,10,884,7128,107754,100,6,4,1079,921,0.600,158
32746,POUCAS FC,III.8,POUCAS CENTER,5438,10,500,35,60,100,2,800,6000,79480,100,5,5,961,1134,0.500,-173
32169,Parresiastas,III.8,Pedra de Sísifo,5438,10,500,38,60,105,2,840,6000,81360,100,2,8,901,1099,0.200,-198
65155,Lacto Basket,III.8,Lactovacilus,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,932,1265,0.100,-333
