team_id,team_name,arena_name,bleachers_capacity,bleachers_price,lower_tier_capacity,lower_tier_price,courtside_capacity,courtside_price,luxury_capacity,luxury_price,total_capacity,avg_est_revenue_per_game,avg_fill_pct
94389,Vitoria Deluxe,Del Puente,17000,19,3950,54,500,192,50,980,21500,609084,93
95632,Talentų kalvė,Dirbtuvės,20000,17,5000,42,500,185,50,920,25550,496778,68
97956,Grijači klupe,Rupa,16750,18,2800,59,480,190,35,1199,20065,470931,80
98998,Olivik Vikings,Fiasko Garden,17500,18,3000,53,500,185,40,999,21040,568913,92
100607,Predragon,Amy Winehouse Arena,20450,17,7000,39,500,184,50,895,28000,593517,75
106932,Dallas Mavericks_,Palacio del Colorado Marquez,17950,17,4500,45,500,180,50,950,23000,538673,86
107472,幻影兒,陰影,17000,20,5000,44,500,182,50,900,22550,559656,79
107908,Infested Warriors,Infested´s Cave,18150,20,5000,55,500,190,50,1000,23700,549682,76
114406,Straški navihanci,Straška hala,16500,20,5000,45,500,185,50,900,22050,521225,75
119450,Amirovci,Selendra,16500,15,5000,39,500,181,50,869,22050,501214,87
144664,terastiousp,Kajabbar Center,14500,18,6500,38,500,175,50,910,21550,534498,86
162456,KS Goldena,Golden Arena,16000,19,4500,43,500,182,50,870,21050,480536,73
162788,Młoty Stargard,Kowadło,16001,19,4450,43,500,180,50,870,21001,563950,90
166411,Barnaul Basket,Barnaul squear garden,18000,20,6000,62,500,182,50,930,24550,558386,74
172503,Kekluhoitaa,Ilmala,15000,18,4400,43,500,176,50,870,19950,511615,88
175717,Quito Warriors,Solana Center,15000,20,6000,48,500,180,50,900,21550,523707,76
176337,Vieja Guardia,Fenix Arena,19400,13,8370,35,500,130,50,900,28320,397537,59
177409,Mighty Ducks cz,Ducks Palace,17632,19,3333,65,500,200,50,1250,21515,536518,85
181480,KK Lesykla,Halė Užkaltais Langais,15000,15,5000,39,500,171,50,840,20550,474021,91
184975,Matarin pojat,Rekolan kenttä,20000,18,5000,48,500,200,50,1100,25550,519452,71
187710,桀骜牛仔,美航中心,20000,17,5000,47,500,190,50,990,25550,495349,69
196259,Hard Ball Gets,Pattersons Playground,14000,18,6000,42,500,185,50,888,20550,513895,83
197523,ILoveNatalie,NataCity,20000,15,5000,36,500,170,50,840,25550,478411,73
204335,Alliku Pallurid,Alliku Arena,15000,16,4450,42,500,190,50,950,20000,504449,90
275685,dequestion,dq Centre,15000,19,4450,44,500,179,50,890,20000,591475,96
276991,Riksun koripallot II,Herajoen palloiluhalli,16000,18,3600,45,500,172,30,1150,20130,477303,80
277482,BC Dondel,Dondeler Dëppen,18000,19,3500,50,500,178,50,890,22050,520504,76
