Name,Player ID,Position,Age,Rookie,Height (cm),Potential,Potential %,Game Shape,Jump Shot,Jump Range,Outside Def,Handling,Driving,Passing,Inside Shot,Inside Def,Rebounding,Shot Blocking,Stamina,Free Throw,Experience,Skill Points Total,Skill Points Off,Skill Points Def,Eval PG,Eval SG,Eval SF,Eval PF,Eval C,Weekly Salary,Salary Secondary,Starting Price,Owner Team,Source League,Pulled Date
Leys Rahmati,54230463,SF,25,No,203,hall of famer,,6,20,11,18,18,19,9,12,12,11,10,4,4,9,140,95,45,,,,,,170224,,2350065,Milwaukee Sucks,III.15,2026-09-11
Çaglar Durusel,54638147,C,23,No,211,hall of famer,,,8,3,9,11,11,10,9,19,18,19,2,10,4,117,52,65,,,,,,169744,,1500000,Tanzigan pojat,III.15,2026-09-11
Liudas Cipelis,53483194,PG,26,No,188,MVP,100,8,20,14,19,18,19,14,14,9,6,7,4,14,8,140,104,36,15.14,15.48,13.41,11.83,10.95,164846,157059,1800000,Sairijų Būralis,III.15,2026-09-11
Edgar Esquivel,53923396,PF,25,No,216,hall of famer,,8,17,11,8,15,17,18,18,17,13,9,1,16,9,143,86,57,,,,,,159996,,3000000,AlpenFlash Dunk Crew,III.15,2026-09-11
Paco Peña,54330527,C,24,No,216,MVP,,,9,9,6,11,12,9,17,13,20,11,3,15,6,117,56,61,,,,,,157792,,1990000,Elbląg Hunters,III.15,2026-09-11
Johan Calvo,52216377,PF,31,No,213,hall of famer,,9,12,8,15,15,16,15,10,20,15,20,4,22,13,146,81,65,,,,,,155888,,2900000,pirulos tropicales,III.15,2026-09-11
Kristo Allas,54469736,C,24,No,216,MVP,100,,5,8,6,2,6,4,18,18,15,10,2,10,5,92,31,61,,,,,,155592,164310,1200000,DirtyDragons,III.15,2026-09-11
Tadeusz Kupidura,54121268,PF,25,No,208,hall of famer,100,,13,5,9,12,11,8,17,17,15,12,2,19,6,119,58,61,,,,,,155525,164431,1150000,CaniFelis,III.15,2026-09-11
Jonathan Pronost,52421606,C,29,No,213,hall of famer,,,10,3,5,10,12,13,7,20,17,22,6,20,10,119,53,66,,,,,,153647,,1500000,Les Lents Béarnais,III.15,2026-09-11
Daugalis Kilevicius,51098632,SF,33,No,198,MVP,,,19,12,19,18,20,8,21,14,7,6,4,22,15,144,96,48,,,,,,149866,,1890000,Krautentruppen,III.15,2026-09-11
Abdur Rahim Penalver,52591835,PF,29,No,211,hall of famer,,8,14,7,6,13,15,7,18,14,18,8,5,4,9,120,62,58,,,,,,149494,,2200000,Quezon City Kings,III.15,2026-09-11
Unna Emiliano Acebuque,50843355,C,34,No,208,MVP,,,11,7,9,15,17,7,17,17,15,10,9,26,15,125,66,59,,,,,,147874,,1000000,Phantom 56xers,III.15,2026-09-11
Chen Bangyuan,54621592,C,23,No,206,hall of famer,,,11,10,6,11,12,10,11,19,17,19,2,12,4,126,60,66,,,,,,147433,,1990000,Elbląg Hunters,III.15,2026-09-11
Julien Vergne,53425212,PG,27,No,183,hall of famer,100,,21,13,19,19,21,13,14,10,8,8,7,19,10,146,106,40,,,,,,147208,167999,1750000,Furious Frog,III.15,2026-09-11
Edward Matthews,53337818,PF,27,No,208,hall of famer,100,,14,11,12,18,19,8,16,17,15,12,6,13,9,142,82,60,,,,,,146992,162890,1900000,Ördöngősök,III.15,2026-09-11
Rick Murray,52996800,SF,27,No,196,hall of famer,100,9,20,10,20,17,19,12,20,13,8,7,5,19,11,146,98,48,14.65,15.21,14.7,14.43,14.14,146659,137176,2999994,蜗世界,III.15,2026-09-11
Davut Cantürk,52002196,PG,30,No,193,MVP,100,8,20,12,20,20,21,11,15,11,5,8,5,19,13,143,104,39,14.61,15.07,13.41,12.37,11.64,146109,123637,1100000,达纳苏斯,III.15,2026-09-11
Mehmedalija Bandović,52592367,SF,29,No,190,MVP,,,21,12,18,16,18,13,11,12,9,9,6,5,11,139,98,41,,,,,,145604,,1000000,Russia♥,III.15,2026-09-11
Kalle Regio,52856205,SG,28,No,185,all-time great,100,9,19,12,21,21,21,7,19,9,6,4,6,21,10,139,101,38,14,14.61,13.31,12.89,12.39,144224,123499,2500000,Venomous Vicious Vipers,III.15,2026-09-11
Kaupo Mägi,54162384,C,24,No,216,hall of famer,100,,7,4,8,5,7,2,17,18,16,9,7,11,6,93,33,60,,,,,,143153,156234,1200000,europe girls,III.15,2026-09-11
Randall Braswell,51590036,PF,31,No,198,MVP,,,18,9,12,18,21,10,18,14,14,6,8,10,12,140,88,52,,,,,,142783,,1555000,"BK "" BAUSKA""",III.15,2026-09-11
Isaac Elizaga,53045128,PG,28,No,185,MVP,,,17,12,19,20,22,10,16,11,12,7,5,11,9,146,100,46,,,,,,142549,,1500000,Partychan de aquí al lado,III.15,2026-09-11
Ma Xiuyi,53921017,PG,26,No,188,MVP,100,8,17,13,18,19,21,13,11,10,8,7,6,5,8,137,101,36,14.69,14.73,12.97,11.6,10.84,140563,138684,2255444,Club Basket Bon Pastor,III.15,2026-09-11
Pierre Vaidie,53424724,PF,27,No,201,hall of famer,,,14,8,14,14,15,14,15,16,16,10,8,18,9,136,79,57,,,,,,140123,,2450000,FCCV,III.15,2026-09-11
Kamil Moens,53457382,PF,27,No,206,MVP,,,14,7,8,9,12,10,17,17,14,9,6,11,7,117,60,57,,,,,,139762,,1450000,Church Of Ra,III.15,2026-09-11
Yaşar Yaqubov,52594617,SF,29,No,185,hall of famer,,7,18,11,20,17,18,11,15,16,8,8,5,25,11,142,95,47,,,,,,138123,127786,2499000,Liverpool Croatia,III.15,2026-09-11
Aćim Predojević,51124575,SG,34,No,183,hall of famer,,9,21,17,16,15,18,12,9,5,5,8,7,13,14,126,99,27,,,,,,136642,,400000,SR Brigada,III.15,2026-09-11
Elísio Pinto,53683074,PG,26,No,183,hall of famer,100,,18,13,19,16,18,15,10,10,7,6,6,1,9,132,99,33,,,,,,134619,141924,1500000,NFL Basket,III.15,2026-09-11
Pompiliu Mihai,52189991,PG,30,No,203,hall of famer,,,18,10,16,19,20,14,13,10,7,7,9,4,11,134,97,37,,,,,,134479,,1250000,Bodensee,III.15,2026-09-11
Remigiusz Haladuda,53878543,PG,25,No,183,hall of famer,,,21,12,21,20,20,12,7,7,4,3,6,8,9,127,106,21,,,,,,132345,,1500000,Mi Thar: Su,III.15,2026-09-11
Federico Strabuzzi,51342456,SF,32,No,201,hall of famer,100,7,23,15,6,26,27,8,21,8,9,6,6,7,13,149,105,44,12.25,12.08,12.81,13.83,13.76,131219,113830,500000,Free Agent.,III.15,2026-09-11
Toomas Terasmees,53851707,PG,25,No,183,hall of famer,100,9,20,14,18,17,16,15,4,10,8,5,4,20,7,127,100,27,15.04,15.16,12.31,9.76,8.66,129249,149754,1099900,Elavad Trussikud,III.15,2026-09-11
Yiannis Misidis,54079541,PG,25,No,188,MVP,100,,15,12,20,21,22,11,14,13,8,8,4,18,7,144,101,43,,,,,,127553,131703,1700000,NZW KMP WEK,III.15,2026-09-11
Ye Enguang,53255671,SF,28,No,183,hall of famer,100,7,22,14,17,22,24,6,14,11,5,4,3,5,11,139,105,34,13.11,13.68,12.34,11.9,11.4,125966,141123,1000000,บุรีรัมย์ X,III.15,2026-09-11
Dre Breda,53599595,PF,27,No,206,MVP,,,14,9,11,19,20,11,15,16,13,13,9,15,9,141,84,57,,,,,,125482,,1321123,ALE I NEMANI,III.15,2026-09-11
Yiannis Tsolakidis,52771870,SF,28,No,185,hall of famer,,,18,12,21,18,19,8,19,14,7,8,4,19,9,144,96,48,,,,,,125100,,2000000,Moutzouflides,III.15,2026-09-11
Wilmar Vaz Martins,51610381,SF,32,No,206,MVP,100,9,17,15,13,13,15,10,13,14,12,7,7,23,13,129,83,46,12.49,12.84,12.86,12.94,13.05,124041,118271,1900000,"A.D. ""Os Limianos""",III.15,2026-09-11
Sotiris Fasianos,53767272,PF,25,No,213,hall of famer,,,11,3,9,12,14,5,18,18,13,11,9,21,8,114,54,60,,,,,,122417,,1300000,Xalia Mavra BC,III.15,2026-09-11
Liew Lai Sze,53230151,SG,27,No,183,MVP,100,9,20,15,18,20,21,9,10,8,5,6,9,16,9,132,103,29,13.77,14.2,11.78,10.22,9.29,122329,126952,1500000,Mi Thar: Su,III.15,2026-09-11
Curtis Alderman,54282349,PG,24,No,198,MVP,100,8,16,10,16,17,18,16,14,8,10,4,1,8,5,129,93,36,14.51,14.29,13.16,11.96,11.31,121706,131751,2950000,kk rudar 1978,III.15,2026-09-11
Igor Kanunnikov,51732477,SG,32,No,188,MVP,100,5,17,17,17,17,15,13,7,10,10,4,7,7,13,127,96,31,14.66,14.74,12.54,10.76,10.03,121616,141584,350000,Colorado Red Jaguars,III.15,2026-09-11
Jonathan Quaratino,52738781,PF,28,No,208,MVP,,,14,9,15,9,10,8,16,20,9,13,4,19,12,123,65,58,,,,,,121133,,1000000,A Team Has No Name,III.15,2026-09-11
Krister Christiansson,51340078,SG,32,No,193,MVP,,7,20,16,16,19,19,8,8,4,8,6,8,10,16,124,98,26,,,,,,119587,,550000,Jakarta Warriors,III.15,2026-09-11
Stane Vugrinčič,53897633,PG,26,No,216,hall of famer,,8,12,10,14,16,18,16,15,14,15,12,3,13,6,142,86,56,,,,,,117384,,2170000,High fly team,III.15,2026-09-11
Thanos Gatzos,53768604,SG,26,No,196,hall of famer,100,9,19,11,19,19,20,10,18,7,11,6,4,16,9,140,98,42,14.5,14.87,13.79,13.09,12.55,116245,119325,2700000,Atsalakotoi13,III.15,2026-09-11
Wu Sing Yiu,53857459,SG,26,No,188,MVP,100,6,16,16,17,16,18,7,11,12,9,6,3,17,8,128,90,38,12.78,13.27,12.12,11.64,11.4,115545,105421,545000,LUDDI,III.15,2026-09-11
Avraam Chatzistavrou,53442741,PG,26,No,188,hall of famer,,,20,10,17,23,24,12,10,5,4,7,4,16,8,132,106,26,,,,,,108990,,1500000,Mavs Nation,III.15,2026-09-11
Caíque Melo Cunha,52352978,SF,29,No,203,MVP,,,17,13,13,14,16,10,14,15,12,9,7,28,9,133,83,50,,,,,,108921,,1200000,blondiniai,III.15,2026-09-11
Stanley Jess,52592242,PG,29,No,183,MVP,,9,18,15,14,21,21,12,10,7,7,4,4,11,10,129,101,28,,,,,,108768,,540000,Wybrzeże Klatki Schodowej,III.15,2026-09-11
Safet Bavrk,54459074,PF,24,No,203,MVP,,,15,11,5,14,13,11,16,16,12,13,5,15,5,126,69,57,,,,,,108072,,1389000,BuglerBeavers,III.15,2026-09-11
Doron Fux,54102673,SG,24,No,183,MVP,100,5,20,15,18,18,19,10,11,8,5,5,8,14,7,129,100,29,13.73,14.23,11.89,10.32,9.44,107867,126276,1200000,Labregos BC,III.15,2026-09-11
Kamal Luc,54473466,PF,24,No,211,superstar,,,14,9,3,4,8,5,18,16,12,11,4,13,5,100,43,57,,,,,,107077,,1000000,Dalmacija United,III.15,2026-09-11
Buta Amilov,52215559,PG,30,No,185,MVP,100,9,17,12,18,22,22,10,14,7,7,4,3,13,12,133,101,32,14.09,14.14,12.45,11.41,10.64,105388,108194,1250000,Tanqueray Lemon,III.15,2026-09-11
Orlando Battistelli,51344793,PF,32,No,208,MVP,,,12,8,6,15,16,7,15,15,17,10,9,15,13,121,64,57,,,,,,105031,,1000000,Jakarta Warriors,III.15,2026-09-11
Ionicã Panduru,51501777,SG,32,No,193,MVP,,8,20,15,17,20,21,7,10,9,4,6,9,9,15,129,100,29,,,,,,104824,,800000,Jakarta Warriors,III.15,2026-09-11
Ludovic Aumaitre,53425748,C,26,No,206,MVP,,,10,6,4,7,9,2,17,18,14,8,6,11,7,95,38,57,,,,,,104757,,1000000,Prule,III.15,2026-09-11
David D'Amore,53409417,C,27,No,198,superstar,,,6,8,16,13,10,12,8,18,18,13,5,9,10,122,65,57,,,,,,103650,,1500000,Tanzigan pojat,III.15,2026-09-11
Pablo Ramallo,50330287,SG,35,No,185,MVP,,8,17,16,17,16,16,12,6,9,7,7,9,8,18,123,94,29,,,,,,103399,,150000,GUADIX F.C.,III.15,2026-09-11
Traianos Mavilis,53441098,PG,26,No,196,MVP,,,17,11,21,22,22,9,13,8,6,5,5,6,9,134,102,32,,,,,,103192,,1499000,5 Fuori Giussano,III.15,2026-09-11
Martino Volpato,52404972,PF,29,No,208,MVP,,,14,8,14,18,18,7,17,16,9,13,3,6,11,134,79,55,,,,,,102821,,1890000,Odio Per I Clerks!!!!,III.15,2026-09-11
Lau Hui Puay,53230051,SF,27,No,185,MVP,,,21,12,18,19,19,9,10,9,7,4,9,12,8,128,98,30,,,,,,101839,,1250000,Mi Thar: Su,III.15,2026-09-11
Fabricio Lundberg,50972523,SF,33,No,198,hall of famer,,,17,10,13,17,18,14,13,14,13,10,8,24,13,139,89,50,,,,,,99899,,1300000,Ghepardi,III.15,2026-09-11
Simón Correa,53244728,PG,27,No,193,hall of famer,,9,15,11,17,18,18,13,19,17,5,7,5,9,11,140,92,48,,,,,,99185,,2200000,摸鱼摸麻了,III.15,2026-09-11
Carlos Holliday,51590914,C,31,No,208,superstar,,,8,7,10,11,9,11,10,19,14,15,5,13,12,114,56,58,,,,,,98402,,1250000,Afyon Bld Gençlik,III.15,2026-09-11
Jordi Jounou,52718727,SF,28,No,190,MVP,100,9,21,14,14,23,24,7,9,6,8,4,1,15,12,130,103,27,12.96,13.09,11.18,10,9.16,97158,99321,550000,IKERYJAIRO,III.15,2026-09-11
Scott Astarita,54231165,PG,24,No,188,MVP,,,15,9,17,21,21,13,11,10,8,5,2,15,5,130,96,34,,,,,,95971,,1673200,I Pericolati,III.15,2026-09-11
Ragnar Rank,53525521,SF,27,No,198,MVP,,8,15,16,13,15,15,12,14,15,11,11,2,14,8,137,86,51,,,,,,95911,,2200000,lokros,III.15,2026-09-11
Chen Yu chen,53581630,SG,27,No,183,MVP,100,4,18,16,17,18,19,9,10,4,4,3,9,12,8,118,97,21,13.01,13.4,10.58,8.73,7.68,95424,94926,850000,blondiniai,III.15,2026-09-11
Anselm Giró,54332819,C,23,No,208,superstar,,,6,8,7,7,9,7,16,16,15,10,3,14,6,101,44,57,,,,,,95138,,1150000,Chuminakis B.C.,III.15,2026-09-11
Velimir Ðalać,53594335,PG,27,No,196,superstar,,,13,11,18,17,15,13,15,13,9,10,1,20,10,134,87,47,,,,,,95103,,1900000,Geeno FC,III.15,2026-09-11
Felix Zhabinskiy,54233940,SG,24,No,196,hall of famer,,8,17,15,18,18,19,7,13,10,6,7,5,13,7,130,94,36,,,,,,94927,,,"""АТЕШ"" Крим",III.15,2026-09-11
Wang Kunlian,53366128,C,26,No,203,MVP,100,7,6,8,20,14,12,9,11,21,10,19,3,8,8,130,69,61,12.6,12.77,13.25,13.72,14,94403,93147,3333334,spardaks,III.15,2026-09-11
Perry Wilkinson,50954738,C,33,No,216,superstar,,,4,9,9,10,8,13,8,18,16,18,9,15,15,113,53,60,,,,,,92911,,1700000,Atsalakotoi13,III.15,2026-09-11
Marceliano Manrique,54230559,SF,25,No,183,hall of famer,,,20,13,15,19,19,8,16,12,7,6,4,18,7,135,94,41,,,,,,92019,,2735000,sheert devils II,III.15,2026-09-11
Amir Imamović,53174323,SG,28,No,198,superstar,,4,20,15,14,17,18,6,13,6,6,7,2,5,11,122,90,32,,,,,,91175,,500000,Free Agent,III.15,2026-09-11
Teemu Hartman,53577151,SF,26,No,185,MVP,100,9,22,14,13,19,19,9,20,7,5,4,5,15,5,132,96,36,12.49,12.97,12.27,12.12,11.72,89713,89998,976000,Mallikkaat Kuleksijat,III.15,2026-09-11
Augedas Getlingas,52479585,SG,29,No,208,MVP,,6,18,16,15,17,19,12,7,6,5,7,4,19,11,122,97,25,,,,,,89410,,850000,Anadolu Efesas,III.15,2026-09-11
Jędrzej Radziwanowski,51807137,SG,32,No,185,superstar,,8,18,15,14,15,15,12,8,6,10,9,6,18,12,122,89,33,,,,,,88971,,250000,Relentless Sin,III.15,2026-09-11
Settimio Zarbo,53736674,PF,26,No,198,hall of famer,100,7,17,6,14,14,16,8,20,12,9,10,4,17,7,126,75,51,11.17,11.67,12.56,13.36,13.52,87067,91715,2150000,Shohoku II,III.15,2026-09-11
Rahav Kashani,51718817,SG,31,No,185,superstar,,9,19,14,17,18,20,9,12,10,4,8,9,10,15,131,97,34,,,,,,86875,,350000,Green Mushroom,III.15,2026-09-11
Simon Alain,54539666,SG,24,No,188,hall of famer,100,9,18,14,19,22,22,5,17,7,5,11,5,10,6,140,100,40,13.21,13.83,12.28,11.77,11.12,85850,104078,3000000,#8 Kobe Bryant,III.15,2026-09-11
Alessandro Murenu,52404667,PG,29,No,198,superstar,100,7,14,14,17,17,18,13,10,6,5,5,6,12,12,119,93,26,13.61,13.6,11.22,9.42,8.46,85815,85990,1230000,Odio Per I Clerks!!!!,III.15,2026-09-11
Orlando Almada,53255639,SF,27,No,208,hall of famer,,,18,10,17,18,19,6,19,14,5,6,3,19,8,132,88,44,,,,,,85699,,1500000,摸鱼摸麻了,III.15,2026-09-11
Charles Beaver,53338749,PG,27,No,193,MVP,100,9,16,15,14,18,19,13,6,8,9,2,7,9,7,120,95,25,13.63,13.39,11.36,9.67,8.87,84302,97693,699000,TeXans99,III.15,2026-09-11
Indrek Brakman,53525369,PG,26,No,183,hall of famer,,,17,12,17,18,19,12,14,14,8,6,9,5,9,137,95,42,,,,,,83220,,1700000,Olympiacos B.C.,III.15,2026-09-11
Mao Ping sheng,54218283,PG,25,No,188,hall of famer,,,13,13,19,19,19,10,9,9,11,8,6,21,7,130,93,37,,,,,,82834,,1350000,Stumbras,III.15,2026-09-11
Jonas Zizevicius,49579032,SG,37,No,196,MVP,,9,15,18,16,11,13,5,13,7,6,5,9,17,17,109,78,31,,,,,,82365,,,Skoda Ξάνθη,III.15,2026-09-11
Roberto Forgani,51661580,SG,31,No,193,hall of famer,100,,17,13,18,15,16,12,8,8,8,4,8,16,14,119,91,28,,,,,,79966,88122,1000000,Odio Per I Clerks!!!!,III.15,2026-09-11
Theodoros Kakavos,52063408,SG,31,No,185,hall of famer,,6,20,14,16,20,21,6,8,6,4,3,5,12,13,118,97,21,,,,,,76925,,200000,GENERAL FIRST,III.15,2026-09-11
Ignacio Fogassot,53207264,PG,28,No,183,superstar,100,7,16,15,15,16,14,15,10,6,3,2,8,2,10,112,91,21,13.39,13.38,10.89,8.9,7.91,76649,81432,500000,Free Agent,III.15,2026-09-11
Mardi Kasparyan,54544235,PG,24,No,196,MVP,,,16,12,19,18,18,12,11,12,7,7,7,12,7,132,95,37,,,,,,76124,,1400000,FCCV,III.15,2026-09-11
Athanasios Mattheou,54079410,SG,25,No,201,MVP,100,8,15,13,18,18,19,9,14,12,8,10,3,4,8,136,92,44,13.45,13.77,12.88,12.5,12.16,75138,73799,1007200,Sepolia City,III.15,2026-09-11
Kosta Macura,54146374,PF,25,No,201,hall of famer,100,8,19,10,10,18,19,11,18,12,9,9,4,16,6,135,87,48,12.06,12.1,12.82,13.39,13.4,73329,83886,2300000,KK Alkoholicari,III.15,2026-09-11
Mantvydas Laužaitis,54427380,PG,24,No,196,superstar,,,16,12,17,18,18,12,9,9,3,8,5,17,5,122,93,29,,,,,,73147,,1000000,Mecklenburger,III.15,2026-09-11
Stancho Púrvanov,52850025,PF,29,No,206,MVP,100,6,11,10,10,16,18,12,15,10,18,9,9,19,9,129,77,52,12.57,12.04,13.12,13.68,13.88,71751,68571,1790000,SSG Ulm 99,III.15,2026-09-11
Richie Williams,50315649,PG,35,No,183,MVP,,8,17,15,15,13,15,14,8,10,4,6,7,20,17,117,89,28,,,,,,71004,,275000,BC Nõmmküla,III.15,2026-09-11
Haris Xarchakos,54078253,PG,25,No,185,hall of famer,,,14,10,17,17,15,13,12,12,10,6,6,9,6,126,86,40,,,,,,69271,,1950000,Olympiacos B.C.,III.15,2026-09-11
Fernando Faisal Saroge,54231227,C,25,No,213,MVP,100,,8,5,10,12,11,9,12,13,17,12,8,7,6,109,55,54,,,,,,69231,64354,1250000,WKS Włocławek,III.15,2026-09-11
Carmelo Soto,54851689,C,23,No,198,MVP,,,4,9,6,7,3,13,9,16,13,18,6,16,5,98,42,56,,,,,,69057,,1200000,vagancias,III.15,2026-09-11
Anouk Hessenthal,53403602,PG,26,No,188,MVP,100,7,15,16,14,16,17,13,5,6,5,1,4,15,8,108,91,17,12.84,12.72,10.03,7.91,6.91,68982,69206,600000,Berlin Supersonics,III.15,2026-09-11
Alberto Mayoral,53714670,C,26,No,213,hall of famer,,,10,4,6,6,10,7,11,14,17,14,3,13,6,99,43,56,,,,,,68788,,1000000,Athletic Alkala Basket,III.15,2026-09-11
Roc Camps,53713392,SG,26,No,185,hall of famer,,,17,12,20,16,18,9,6,9,4,10,5,10,4,121,92,29,,,,,,68783,,1250000,CB Osasuna,III.15,2026-09-11
Huang Ruifa,53025137,PF,27,No,206,hall of famer,100,9,11,6,11,16,16,8,14,13,16,10,9,17,10,121,68,53,11.08,10.83,12.32,13.36,13.76,68320,71135,1709990,SSG Ulm 99,III.15,2026-09-11
Gary Forbes,53856089,SF,26,No,188,MVP,,,18,12,12,20,20,10,11,10,9,10,5,6,7,132,92,40,,,,,,67579,,1450000,"""CAPO D' IRLANDA""",III.15,2026-09-11
Ferruccio Anastasio,54045494,PF,25,No,208,hall of famer,,,11,6,3,12,14,5,16,12,16,9,4,6,6,104,51,53,,,,,,67302,,1888888,MKS Podlasie Sokółów Podlaski,III.15,2026-09-11
